MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,section,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround,northendpilot,timestamp,parent,losta,hista
3123,Norfolk St,7,South Dorchester,12:00,16:00,Even,Morton St,Blue Hill Ave,0.508712121212121,,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,NORFO3,5357,8043
3124,Merola Park,7,South Dorchester,12:00,16:00,Even,West Selden St,Cookson Ter,7.53787878787879E-02,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,MEROL1,0,398
3125,Merola Park,7,South Dorchester,12:00,16:00,Odd,West Selden St,Cookson Ter,7.53787878787879E-02,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,MEROL1,0,398
3126,Wrentham St,7,South Dorchester,08:00,12:00,Even,Dorchester Ave,Adams St,0.435795454545455,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,WRENT1,0,2301
3127,Wrentham St,7,South Dorchester,08:00,12:00,Odd,Dorchester Ave,Adams St,0.435795454545455,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,WRENT1,0,2301
3128,Tanglewood Rd,7,South Dorchester,12:00,16:00,Odd,Washington St,Dead End,0.040530303030303,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,TANGL1,0,214
3129,Tanglewood Rd,7,South Dorchester,12:00,16:00,Even,Washington St,Dead End,0.040530303030303,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,TANGL1,0,214
3130,Sanford St,7,South Dorchester,12:00,16:00,Even,Morton St,Cedar St,0.26780303030303,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SANFO1,0,1414
3131,Sanford St,7,South Dorchester,12:00,16:00,Odd,Morton St,Cedar St,0.26780303030303,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/29/2012 10:06:53 AM,SANFO1,0,1414
3132,East Broadway,5,South Boston,05:00,07:00,Even,Dorchester St,I St,0.283522727272727,,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,E BRO1,0,1497
3133,East Broadway,5,South Boston,05:00,07:00,Even,I St,L St,0.231060606060606,,False,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,E BRO1,1497,2717
3134,East Broadway,5,South Boston,05:00,07:00,Odd,I St,L St,0.231060606060606,,False,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,2/29/2012 10:06:53 AM,E BRO1,1497,2717
3135,Pasadena Rd,3,North Dorchester,08:00,12:00,Even,Columbia Rd,Blue Hill Ave,0.164583333333333,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:11:36 PM,PASAD1,0,869
3136,Pasadena Rd,3,North Dorchester,08:00,12:00,Odd,Columbia Rd,Blue Hill Ave,0.164583333333333,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:11:31 PM,PASAD1,0,869
3137,Castlegate Rd,3,North Dorchester,08:00,12:00,Even,Blue Hill Ave,Normandy St,9.10984848484848E-02,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:12:41 PM,CASTL3,0,481
3138,Castlegate Rd,3,North Dorchester,08:00,12:00,Odd,Blue Hill Ave,Normandy St,9.10984848484848E-02,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:12:34 PM,CASTL3,0,481
3139,Supple Rd,3,North Dorchester,08:00,12:00,Even,Columbia Rd,Blue Hill Ave,0.196022727272727,,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:11:11 PM,SUPPL1,0,1035
3140,Supple Rd,3,North Dorchester,08:00,12:00,Odd,Columbia Rd,Blue Hill Ave,0.196022727272727,,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,6/13/2013 4:11:05 PM,SUPPL1,0,1035
3141,Seaver St,3,North Dorchester,08:00,12:00,Even,Blue Hill Ave,Columbia Rd,0.14981060606,,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,3/31/2016 3:33:14 PM,SEAVE1,0,791
3142,Seaver St,3,North Dorchester,08:00,12:00,Odd,Blue Hill Ave,Columbia Rd,0.14981060606,,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,3/31/2016 3:32:57 PM,SEAVE1,0,791
3143,Winter St,3,North Dorchester,08:00,12:00,Even,Bowdoin St,Adams St,0.194318181818182,,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,WINTE1,0,1026
3144,Winter St,3,North Dorchester,08:00,12:00,Odd,Bowdoin St,Adams St,0.194318181818182,,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2/14/2012 8:36:32 AM,WINTE1,0,1026
